id,title,gherkin,effort,time
1,Exportar reporte de ventas a PDF,"Feature: Exportar reporte de ventas\nScenario: El administrador exporta un reporte en PDF\nGiven estoy en la página de ""Reportes""\nWhen selecciono el rango de fechas ""mes actual""\nAnd hago clic en el botón ""Exportar a PDF""\nThen el sistema debe descargar un archivo PDF llamado ""reporte_ventas.pdf""",8,12
2,Carga de avatar de perfil a S3,"Feature: Carga de avatar de perfil\nScenario: El usuario sube una imagen válida\nGiven el usuario está en su página de ""Perfil""\nWhen selecciona un archivo de imagen ""avatar.jpg"" (menor a 2MB)\nAnd hace clic en ""Subir""\nThen la imagen de perfil se actualiza",13,20
3,Login de usuario con API externa,"Feature: Autenticación de usuario\nScenario: Usuario se loguea con credenciales válidas\nGiven el usuario está en la página de Login\nWhen ingresa su email y contraseña\nAnd hace clic en ""Ingresar""\nThen es redirigido al Dashboard",5,8
4,Implementar paginación en lista de productos,"Feature: Lista de productos\nScenario: Usuario navega a la segunda página\nGiven estoy en la lista de productos\nWhen hago clic en el número de página ""2""\nThen veo los productos del 21 al 40",3,5
5,Procesar pago con tarjeta de crédito,"Feature: Checkout\nScenario: Usuario realiza un pago exitoso\nGiven el usuario está en la página de pago\nWhen ingresa los detalles de su tarjeta y hace clic en ""Pagar""\nThen ve un mensaje de ""Pago exitoso""",21,35
6,Filtrar productos por categoría,"Feature: Lista de productos\nScenario: Usuario filtra por categoría ""Electrónica""\nGiven estoy en la lista de productos\nWhen selecciono el filtro de categoría ""Electrónica""\nThen solo veo productos de esa categoría",5,6
7,Añadir producto al carrito,"Feature: Detalle de producto\nScenario: Usuario añade un producto al carrito\nGiven estoy en la página de un producto\nWhen hago clic en ""Añadir al carrito""\nThen el contador del carrito se incrementa en 1",2,3
8,Registro de nuevo usuario,"Feature: Registro\nScenario: Un visitante se registra con datos válidos\nGiven estoy en la página de registro\nWhen completo el formulario con datos válidos y hago clic en ""Registrar""\nThen soy redirigido a mi nuevo Dashboard",8,10
9,Exportar datos de usuario a CSV,"Feature: Perfil de administrador\nScenario: Admin exporta usuarios\nGiven soy un administrador en el panel de usuarios\nWhen hago clic en ""Exportar a CSV""\nThen se descarga un archivo ""usuarios.csv""",5,9
10,Integración con API de mapas para geolocalización,Feature: Búsqueda de tiendas\nScenario: Usuario ve tiendas cercanas en un mapa\nGiven estoy en la página de búsqueda de tiendas\nWhen el sistema obtiene mi ubicación\nThen veo un mapa con pines de las tiendas cercanas,13,22
11,Recuperación de contraseña,"Feature: Autenticación\nScenario: Usuario solicita restablecer su contraseña\nGiven estoy en la página de login\nWhen hago clic en ""Olvidé mi contraseña"" e ingreso mi email\nThen recibo un correo con un enlace de restablecimiento",8,12
12,Agregar comentarios a un producto,"Feature: Detalle de producto\nScenario: Usuario agrega un comentario\nGiven estoy en la página de un producto\nWhen escribo un comentario y hago clic en ""Enviar""\nThen el comentario aparece en la lista de comentarios",5,7
13,Notificaciones push para nuevos pedidos,Feature: Notificaciones\nScenario: Admin recibe notificación de nuevo pedido\nGiven un usuario realiza un pedido\nWhen el pedido se confirma\nThen el administrador recibe una notificación push,13,20
14,Filtrar reportes por fecha,Feature: Reportes\nScenario: Admin filtra reportes por rango de fechas\nGiven estoy en la página de reportes\nWhen selecciono un rango de fechas personalizado\nThen veo solo los datos del rango seleccionado,5,8
15,Eliminar producto del carrito,"Feature: Carrito\nScenario: Usuario elimina un producto del carrito\nGiven estoy en la página del carrito\nWhen hago clic en ""Eliminar"" en un producto\nThen el producto desaparece del carrito y el total se actualiza",3,5
16,Editar perfil de usuario,Feature: Perfil\nScenario: Usuario edita sus datos personales\nGiven estoy en mi página de perfil\nWhen modifico mi nombre y guardo cambios\nThen los cambios se reflejan en el perfil,5,8
17,Ver historial de pedidos,"Feature: Dashboard de usuario\nScenario: Usuario ve sus pedidos anteriores\nGiven estoy en mi dashboard\nWhen navego a ""Historial de pedidos""\nThen veo la lista de pedidos con detalles",8,12
18,Aplicar cupón de descuento,Feature: Checkout\nScenario: Usuario aplica un cupón válido\nGiven estoy en el checkout\nWhen ingreso el código del cupón\nThen el total se actualiza con el descuento,5,7
19,Gestionar inventario de productos,Feature: Panel admin\nScenario: Admin actualiza stock de producto\nGiven soy admin en panel de productos\nWhen modifico el stock de un producto\nThen el stock se actualiza en la BD,8,10
20,Búsqueda de productos por nombre,"Feature: Lista de productos\nScenario: Usuario busca un producto\nGiven estoy en la lista de productos\nWhen ingreso ""laptop"" en la barra de búsqueda\nThen veo productos que coincidan",5,6
21,Enviar email de confirmación de pedido,Feature: Checkout\nScenario: Usuario recibe email post-pago\nGiven el pago es exitoso\nWhen el sistema procesa el pedido\nThen se envía email de confirmación,8,12
22,Asignar rol de administrador a usuario,"Feature: Gestión de usuarios\nScenario: Admin asigna rol a usuario\nGiven soy admin en panel de usuarios\nWhen asigno rol ""admin"" a un usuario\nThen el usuario gana permisos de admin",8,10
23,Generar reporte de inventario,"Feature: Reportes admin\nScenario: Admin genera reporte de stock\nGiven estoy en reportes\nWhen selecciono ""Reporte de inventario""\nThen se descarga archivo con stock actual",5,9
24,Integración con Stripe para pagos,Feature: Pagos\nScenario: Usuario paga con Stripe\nGiven estoy en checkout\nWhen selecciono Stripe y pago\nThen el pago es procesado y confirmado,13,20
25,Validación de edad para compras,Feature: Checkout\nScenario: Usuario menor de edad no compra\nGiven usuario ingresa fecha de nacimiento\nWhen es menor de 18\nThen se bloquea el checkout,5,7
26,Actualizar contraseña de usuario,"Feature: Perfil\nScenario: Usuario cambia contraseña\nGiven en perfil, sección seguridad\nWhen ingresa nueva contraseña y confirma\nThen contraseña se actualiza",5,8
27,Paginación en lista de usuarios admin,Feature: Panel admin\nScenario: Admin navega páginas de usuarios\nGiven en panel de usuarios\nWhen clico página 2\nThen veo usuarios 11-20,3,5
28,Subir múltiples imágenes para producto,Feature: Admin productos\nScenario: Admin sube galería de imágenes\nGiven en edición de producto\nWhen subo varias imágenes válidas\nThen las imágenes se asocian al producto,8,12
29,Notificación de stock bajo,Feature: Inventario\nScenario: Admin recibe alerta de stock bajo\nGiven el stock de un producto cae por debajo de 5\nWhen el sistema detecta el cambio\nThen se envía una notificación al admin,8,10
30,Filtrar usuarios por rol,"Feature: Panel admin\nScenario: Admin filtra usuarios por rol\nGiven en panel de usuarios\nWhen selecciono filtro ""admin""\nThen veo solo usuarios con rol admin",5,6
31,Integración con PayPal para pagos,Feature: Pagos\nScenario: Usuario paga con PayPal\nGiven estoy en checkout\nWhen selecciono PayPal y completo pago\nThen el pago es confirmado,13,20
32,Reseñas de productos,Feature: Detalle de producto\nScenario: Usuario deja una reseña\nGiven estoy en página de producto\nWhen envío reseña con calificación\nThen la reseña aparece en la página,5,7
33,Exportar pedidos a Excel,"Feature: Reportes\nScenario: Admin exporta pedidos\nGiven en panel de reportes\nWhen clico ""Exportar a Excel""\nThen se descarga archivo ""pedidos.xlsx""",8,12
34,Autenticación con Google,"Feature: Autenticación\nScenario: Usuario inicia sesión con Google\nGiven en página de login\nWhen selecciono ""Iniciar con Google""\nThen se autentica y redirige al dashboard",13,18
35,Ver detalles de un pedido,Feature: Dashboard usuario\nScenario: Usuario ve detalles de pedido\nGiven en historial de pedidos\nWhen clico en un pedido\nThen veo detalles completos del pedido,3,5
36,Agregar producto a lista de deseos,"Feature: Lista de deseos\nScenario: Usuario agrega producto\nGiven en página de producto\nWhen clico ""Añadir a lista de deseos""\nThen el producto aparece en mi lista",3,4
37,Notificaciones por email de nuevos productos,Feature: Notificaciones\nScenario: Usuario recibe email de nuevos productos\nGiven estoy suscrito a notificaciones\nWhen se agrega un nuevo producto\nThen recibo un email con detalles,8,10
38,Bloquear cuenta de usuario,Feature: Gestión usuarios\nScenario: Admin bloquea usuario\nGiven en panel de usuarios\nWhen marco usuario como bloqueado\nThen el usuario no puede iniciar sesión,5,7
39,Filtrar productos por precio,"Feature: Lista de productos\nScenario: Usuario filtra por rango de precio\nGiven en lista de productos\nWhen selecciono rango ""$50-$100""\nThen veo productos en ese rango",5,6
