id,title,gherkin,unit_tests,effort,time
STORY-001,Exportar reporte de ventas a PDF,"Feature: Exportar reporte de ventas\nScenario: El administrador exporta un reporte en PDF\nGiven estoy en la página de ""Reportes""\nWhen selecciono el rango de fechas ""mes actual""\nAnd hago clic en el botón ""Exportar a PDF""\nThen el sistema debe descargar un archivo PDF llamado ""reporte_ventas.pdf""","def test_pdf_generation():\n  # Verifica que el archivo se crea\ndef test_report_data_accuracy():\n  # Verifica que los datos del reporte son correctos",8,12
STORY-002,Carga de avatar de perfil a S3,"Feature: Carga de avatar de perfil\nScenario: El usuario sube una imagen válida\nGiven el usuario está en su página de ""Perfil""\nWhen selecciona un archivo de imagen ""avatar.jpg"" (menor a 2MB)\nAnd hace clic en ""Subir""\nThen la imagen de perfil se actualiza","def test_upload_valid_image(client, mock_s3):\n  # Simula subida exitosa\ndef test_upload_image_too_large(client):\n  # Verifica error 413\ndef test_s3_upload_failure_gracefully_handled(client, mock_s3_failure):\n  # Verifica error de S3",13,20
STORY-003,Login de usuario con API externa,"Feature: Autenticación de usuario\nScenario: Usuario se loguea con credenciales válidas\nGiven el usuario está en la página de Login\nWhen ingresa su email y contraseña\nAnd hace clic en ""Ingresar""\nThen es redirigido al Dashboard","def test_valid_login():\n  # Mockea la respuesta de la API de auth\ndef test_invalid_credentials():\n  # Mockea una respuesta 401 de la API",5,8
STORY-004,Implementar paginación en lista de productos,"Feature: Lista de productos\nScenario: Usuario navega a la segunda página\nGiven estoy en la lista de productos\nWhen hago clic en el número de página ""2""\nThen veo los productos del 21 al 40","def test_pagination_displays_correct_items():\n  # Verifica el contenido de la segunda página",3,5
STORY-005,Procesar pago con tarjeta de crédito,"Feature: Checkout\nScenario: Usuario realiza un pago exitoso\nGiven el usuario está en la página de pago\nWhen ingresa los detalles de su tarjeta y hace clic en ""Pagar""\nThen ve un mensaje de ""Pago exitoso""","def test_successful_payment():\n  # Mockea la API de pagos con una respuesta exitosa\ndef test_failed_payment_due_to_insufficient_funds():\n  # Mockea la API con una respuesta de fondos insuficientes",21,35
STORY-006,Filtrar productos por categoría,"Feature: Lista de productos\nScenario: Usuario filtra por categoría ""Electrónica""\nGiven estoy en la lista de productos\nWhen selecciono el filtro de categoría ""Electrónica""\nThen solo veo productos de esa categoría","def test_category_filter_works():\n  # Verifica que los productos mostrados pertenecen a la categoría seleccionada",5,6
STORY-007,Añadir producto al carrito,"Feature: Detalle de producto\nScenario: Usuario añade un producto al carrito\nGiven estoy en la página de un producto\nWhen hago clic en ""Añadir al carrito""\nThen el contador del carrito se incrementa en 1","def test_add_to_cart_updates_counter():\n  # Verifica el cambio en el UI del carrito",2,3
STORY-008,Registro de nuevo usuario,"Feature: Registro\nScenario: Un visitante se registra con datos válidos\nGiven estoy en la página de registro\nWhen completo el formulario con datos válidos y hago clic en ""Registrar""\nThen soy redirigido a mi nuevo Dashboard","def test_successful_registration():\n  # Verifica la creación del usuario en la base de datos\ndef test_registration_with_existing_email():\n  # Verifica que se muestra un error si el email ya existe",8,10
STORY-009,Exportar datos de usuario a CSV,"Feature: Perfil de administrador\nScenario: Admin exporta usuarios\nGiven soy un administrador en el panel de usuarios\nWhen hago clic en ""Exportar a CSV""\nThen se descarga un archivo ""usuarios.csv""","def test_csv_export_file_creation():\n  # Verifica que el archivo CSV es generado",5,9
STORY-010,Integración con API de mapas para geolocalización,"Feature: Búsqueda de tiendas\nScenario: Usuario ve tiendas cercanas en un mapa\nGiven estoy en la página de búsqueda de tiendas\nWhen el sistema obtiene mi ubicación\nThen veo un mapa con pines de las tiendas cercanas","def test_map_initialization():\n  # Mockea la API de geolocalización\ndef test_nearby_stores_are_displayed():\n  # Verifica que los pines se renderizan en el mapa",13,22
STORY-011,Recuperación de contraseña,"Feature: Autenticación\nScenario: Usuario solicita restablecer su contraseña\nGiven estoy en la página de login\nWhen hago clic en ""Olvidé mi contraseña"" e ingreso mi email\nThen recibo un correo con un enlace de restablecimiento","def test_password_reset_email_sent():\n  # Verifica que el correo se envía\ndef test_invalid_email_for_reset():\n  # Verifica error para email no registrado",8,12
STORY-012,Agregar comentarios a un producto,"Feature: Detalle de producto\nScenario: Usuario agrega un comentario\nGiven estoy en la página de un producto\nWhen escribo un comentario y hago clic en ""Enviar""\nThen el comentario aparece en la lista de comentarios","def test_comment_added_to_product():\n  # Verifica que el comentario se guarda\ndef test_empty_comment_validation():\n  # Verifica error si el comentario está vacío",5,7
STORY-013,Notificaciones push para nuevos pedidos,"Feature: Notificaciones\nScenario: Admin recibe notificación de nuevo pedido\nGiven un usuario realiza un pedido\nWhen el pedido se confirma\nThen el administrador recibe una notificación push","def test_push_notification_sent():\n  # Mockea el envío de la notificación\ndef test_notification_content():\n  # Verifica que el contenido es correcto",13,20
STORY-014,Filtrar reportes por fecha,"Feature: Reportes\nScenario: Admin filtra reportes por rango de fechas\nGiven estoy en la página de reportes\nWhen selecciono un rango de fechas personalizado\nThen veo solo los datos del rango seleccionado","def test_date_filter_applied():\n  # Verifica que los datos filtrados son correctos",5,8
STORY-015,Eliminar producto del carrito,"Feature: Carrito\nScenario: Usuario elimina un producto del carrito\nGiven estoy en la página del carrito\nWhen hago clic en ""Eliminar"" en un producto\nThen el producto desaparece del carrito y el total se actualiza","def test_remove_product_from_cart():\n  # Verifica que el producto se elimina\ndef test_cart_total_updated():\n  # Verifica que el total se recalcula",3,5
STORY-016,Editar perfil de usuario,"Feature: Perfil\nScenario: Usuario edita sus datos personales\nGiven estoy en mi página de perfil\nWhen modifico mi nombre y guardo cambios\nThen los cambios se reflejan en el perfil","def test_profile_update_success():\n  # Verifica actualización en BD\ndef test_profile_update_validation():\n  # Verifica errores de validación",5,8
STORY-017,Ver historial de pedidos,"Feature: Dashboard de usuario\nScenario: Usuario ve sus pedidos anteriores\nGiven estoy en mi dashboard\nWhen navego a ""Historial de pedidos""\nThen veo la lista de pedidos con detalles","def test_load_order_history():\n  # Verifica carga de pedidos\ndef test_order_details_display():\n  # Verifica detalles del pedido",8,12
STORY-018,Aplicar cupón de descuento,"Feature: Checkout\nScenario: Usuario aplica un cupón válido\nGiven estoy en el checkout\nWhen ingreso el código del cupón\nThen el total se actualiza con el descuento","def test_apply_coupon_valid():\n  # Verifica descuento aplicado\ndef test_apply_coupon_invalid():\n  # Verifica error para cupón inválido",5,7
STORY-019,Gestionar inventario de productos,"Feature: Panel admin\nScenario: Admin actualiza stock de producto\nGiven soy admin en panel de productos\nWhen modifico el stock de un producto\nThen el stock se actualiza en la BD","def test_update_stock_success():\n  # Verifica actualización\ndef test_low_stock_alert():\n  # Verifica alerta de stock bajo",8,10
STORY-020,Búsqueda de productos por nombre,"Feature: Lista de productos\nScenario: Usuario busca un producto\nGiven estoy en la lista de productos\nWhen ingreso ""laptop"" en la barra de búsqueda\nThen veo productos que coincidan","def test_search_returns_results():\n  # Verifica resultados de búsqueda\ndef test_search_no_results():\n  # Verifica mensaje sin resultados",5,6
STORY-021,Enviar email de confirmación de pedido,"Feature: Checkout\nScenario: Usuario recibe email post-pago\nGiven el pago es exitoso\nWhen el sistema procesa el pedido\nThen se envía email de confirmación","def test_send_confirmation_email():\n  # Mockea envío de email\ndef test_email_content_correct():\n  # Verifica contenido del email",8,12
STORY-022,Asignar rol de administrador a usuario,"Feature: Gestión de usuarios\nScenario: Admin asigna rol a usuario\nGiven soy admin en panel de usuarios\nWhen asigno rol ""admin"" a un usuario\nThen el usuario gana permisos de admin","def test_assign_admin_role():\n  # Verifica cambio de rol\ndef test_role_permissions():\n  # Verifica permisos aplicados",8,10
STORY-023,Generar reporte de inventario,"Feature: Reportes admin\nScenario: Admin genera reporte de stock\nGiven estoy en reportes\nWhen selecciono ""Reporte de inventario""\nThen se descarga archivo con stock actual","def test_inventory_report_generation():\n  # Verifica generación\ndef test_report_accuracy():\n  # Verifica datos correctos",5,9
STORY-024,Integración con Stripe para pagos,"Feature: Pagos\nScenario: Usuario paga con Stripe\nGiven estoy en checkout\nWhen selecciono Stripe y pago\nThen el pago es procesado y confirmado","def test_stripe_payment_success():\n  # Mockea Stripe success\ndef test_stripe_payment_failure():\n  # Mockea failure",13,20
STORY-025,Validación de edad para compras,"Feature: Checkout\nScenario: Usuario menor de edad no compra\nGiven usuario ingresa fecha de nacimiento\nWhen es menor de 18\nThen se bloquea el checkout","def test_age_validation_under18():\n  # Verifica bloqueo\ndef test_age_validation_over18():\n  # Verifica permiso",5,7
STORY-026,Actualizar contraseña de usuario,"Feature: Perfil\nScenario: Usuario cambia contraseña\nGiven en perfil, sección seguridad\nWhen ingresa nueva contraseña y confirma\nThen contraseña se actualiza","def test_change_password_success():\n  # Verifica hash nuevo\ndef test_password_strength_validation():\n  # Verifica fortaleza",5,8
STORY-027,Paginación en lista de usuarios admin,"Feature: Panel admin\nScenario: Admin navega páginas de usuarios\nGiven en panel de usuarios\nWhen clico página 2\nThen veo usuarios 11-20","def test_user_list_pagination():\n  # Verifica items correctos",3,5
STORY-028,Subir múltiples imágenes para producto,"Feature: Admin productos\nScenario: Admin sube galería de imágenes\nGiven en edición de producto\nWhen subo varias imágenes válidas\nThen las imágenes se asocian al producto","def test_multiple_image_upload():\n  # Verifica subida exitosa\ndef test_image_size_validation():\n  # Verifica error por tamaño",8,12
STORY-029,Notificación de stock bajo,"Feature: Inventario\nScenario: Admin recibe alerta de stock bajo\nGiven el stock de un producto cae por debajo de 5\nWhen el sistema detecta el cambio\nThen se envía una notificación al admin","def test_low_stock_notification_sent():\n  # Mockea notificación\ndef test_notification_content():\n  # Verifica contenido",8,10
STORY-030,Filtrar usuarios por rol,"Feature: Panel admin\nScenario: Admin filtra usuarios por rol\nGiven en panel de usuarios\nWhen selecciono filtro ""admin""\nThen veo solo usuarios con rol admin","def test_role_filter_applied():\n  # Verifica filtro correcto",5,6
STORY-031,Integración con PayPal para pagos,"Feature: Pagos\nScenario: Usuario paga con PayPal\nGiven estoy en checkout\nWhen selecciono PayPal y completo pago\nThen el pago es confirmado","def test_paypal_payment_success():\n  # Mockea PayPal success\ndef test_paypal_payment_failure():\n  # Mockea failure",13,20
STORY-032,Reseñas de productos,"Feature: Detalle de producto\nScenario: Usuario deja una reseña\nGiven estoy en página de producto\nWhen envío reseña con calificación\nThen la reseña aparece en la página","def test_add_review_success():\n  # Verifica reseña guardada\ndef test_review_validation():\n  # Verifica error si reseña vacía",5,7
STORY-033,Exportar pedidos a Excel,"Feature: Reportes\nScenario: Admin exporta pedidos\nGiven en panel de reportes\nWhen clico ""Exportar a Excel""\nThen se descarga archivo ""pedidos.xlsx""","def test_excel_export_generation():\n  # Verifica archivo generado\ndef test_excel_data_accuracy():\n  # Verifica datos correctos",8,12
